model,model_type,model_size,n_cpu_moe,n_prompt,n_gen,avg_ts
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",0,"512","0","2628.512071"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",0,"0","128","102.225308"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",2,"512","0","2084.200596"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",2,"0","128","68.282094"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",4,"512","0","1709.602379"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",4,"0","128","52.858722"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",6,"512","0","1459.359533"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",6,"0","128","43.451899"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",8,"512","0","1269.948780"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",8,"0","128","36.700882"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",10,"512","0","1130.728752"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",10,"0","128","31.934228"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",12,"512","0","1030.838665"
gemma4-26b-a4b,"gemma4 26B.A4B Q4_0","14233222264",12,"0","128","27.906387"
